id,room_id/id,noted_date,temp,out/in
__export__.temp_log_165246_2cbafce8,Room Admin,27-11-2018 16:11,40,Out
__export__.temp_log_165245_f1ba60f5,Room Admin,27-11-2018 16:11,40,Out
__export__.temp_log_165237_e677ac37,Room Admin,27-11-2018 15:59,40,Out
__export__.temp_log_165238_23723a50,Room Admin,27-11-2018 15:59,40,Out
__export__.temp_log_165234_eba0c7a0,Room Admin,27-11-2018 15:57,40,Out
__export__.temp_log_165233_0b0fc5d9,Room Admin,27-11-2018 15:57,40,Out
__export__.temp_log_165232_efb10a53,Room Admin,27-11-2018 15:55,40,Out
__export__.temp_log_165231_b9bef177,Room Admin,27-11-2018 15:55,40,Out
__export__.temp_log_165224_a8dd8a15,Room Admin,27-11-2018 15:49,40,Out
__export__.temp_log_165223_16f51aa7,Room Admin,27-11-2018 15:49,40,Out
__export__.temp_log_165218_acd0a128,Room Admin,27-11-2018 15:47,40,Out
__export__.temp_log_165217_960764ac,Room Admin,27-11-2018 15:47,40,Out
__export__.temp_log_165213_268b0014,Room Admin,27-11-2018 15:45,41,Out
__export__.temp_log_165214_b3b80b9d,Room Admin,27-11-2018 15:45,41,Out
__export__.temp_log_165201_775318d5,Room Admin,27-11-2018 15:35,29,In
__export__.temp_log_165202_99363928,Room Admin,27-11-2018 15:35,29,In
__export__.temp_log_165197_8098dbe4,Room Admin,27-11-2018 15:33,29,In
__export__.temp_log_165198_491a1354,Room Admin,27-11-2018 15:33,29,In
__export__.temp_log_165195_13eeec41,Room Admin,27-11-2018 15:33,40,Out
__export__.temp_log_165196_1bcb06e0,Room Admin,27-11-2018 15:33,40,Out
__export__.temp_log_165189_217878b7,Room Admin,27-11-2018 15:23,29,In
__export__.temp_log_165190_e578875a,Room Admin,27-11-2018 15:23,29,In
__export__.temp_log_165188_b9eb8e59,Room Admin,27-11-2018 15:23,41,Out
__export__.temp_log_165187_a379c820,Room Admin,27-11-2018 15:23,41,Out
__export__.temp_log_165184_9fe89d7e,Room Admin,27-11-2018 15:21,40,Out
__export__.temp_log_165183_e6b774ab,Room Admin,27-11-2018 15:21,40,Out
__export__.temp_log_165177_6f48f1bb,Room Admin,27-11-2018 15:19,29,In
__export__.temp_log_165178_a5784af3,Room Admin,27-11-2018 15:19,29,In
__export__.temp_log_165170_aa898585,Room Admin,27-11-2018 15:15,40,Out
__export__.temp_log_165169_a31b7588,Room Admin,27-11-2018 15:15,40,Out
__export__.temp_log_165165_367339f3,Room Admin,27-11-2018 15:09,29,In
__export__.temp_log_165166_fbb790cf,Room Admin,27-11-2018 15:09,29,In
__export__.temp_log_165163_a2a0621a,Room Admin,27-11-2018 15:07,41,Out
__export__.temp_log_165164_78087005,Room Admin,27-11-2018 15:07,41,Out
__export__.temp_log_165158_59b6c523,Room Admin,27-11-2018 15:03,40,Out
__export__.temp_log_165157_990cbd45,Room Admin,27-11-2018 15:03,40,Out
__export__.temp_log_165149_26d2cb11,Room Admin,27-11-2018 14:59,28,In
__export__.temp_log_165152_4ea7133e,Room Admin,27-11-2018 14:59,28,In
__export__.temp_log_165151_e1e57b23,Room Admin,27-11-2018 14:59,41,Out
__export__.temp_log_165150_808921d0,Room Admin,27-11-2018 14:59,41,Out
__export__.temp_log_165141_726f8e21,Room Admin,27-11-2018 14:51,28,In
__export__.temp_log_165142_1895d4b7,Room Admin,27-11-2018 14:51,28,In
__export__.temp_log_165113_fe90a2fa,Room Admin,27-11-2018 14:37,28,In
__export__.temp_log_165114_c6d1cd4c,Room Admin,27-11-2018 14:37,28,In
__export__.temp_log_165108_6d0a5e23,Room Admin,27-11-2018 14:35,28,In
__export__.temp_log_165109_8dea68e4,Room Admin,27-11-2018 14:35,28,In
__export__.temp_log_165100_5e66bed9,Room Admin,27-11-2018 14:31,40,Out
__export__.temp_log_165099_891bb762,Room Admin,27-11-2018 14:31,40,Out
__export__.temp_log_165098_14fc7e5c,Room Admin,27-11-2018 14:31,28,In
__export__.temp_log_165115_3dd26e59,Room Admin,27-11-2018 14:31,28,In
